position_index,layer_position_index,scene_id,layer_id,height_index,grid_x_index,grid_z_index,x,y,z,route_heading_deg,camera_route_yaw_deg,pitch_deg,legacy_anchor,route_bridge,distance_from_previous,distance_to_next
276,124,scene_2,scene_2_y03,3,3,12,-2.475714286,7.82,38.438571429,90.0,270.0,-2.0,True,False,0.571428571,0.571428571
277,125,scene_2,scene_2_y03,3,4,12,-1.904285714,7.82,38.438571429,90.0,270.0,-2.0,True,False,0.571428571,0.571428571
278,126,scene_2,scene_2_y03,3,5,12,-1.332857143,7.82,38.438571429,90.0,270.0,-2.0,True,False,0.571428571,0.571428571
279,127,scene_2,scene_2_y03,3,6,12,-0.761428571,7.82,38.438571429,90.0,270.0,-2.0,True,False,0.571428571,0.571428571
280,128,scene_2,scene_2_y03,3,7,12,-0.19,7.82,38.438571429,90.0,270.0,-2.0,True,False,0.571428571,0.571428571
281,129,scene_2,scene_2_y03,3,8,12,0.381428571,7.82,38.438571429,90.0,270.0,-2.0,True,False,0.571428571,0.571428571
282,130,scene_2,scene_2_y03,3,9,12,0.952857143,7.82,38.438571429,90.0,270.0,-2.0,True,False,0.571428571,0.571428571
283,131,scene_2,scene_2_y03,3,10,12,1.524285714,7.82,38.438571429,90.0,270.0,-2.0,True,False,0.571428571,0.571428571
284,132,scene_2,scene_2_y03,3,11,12,2.095714286,7.82,38.438571429,90.0,270.0,-2.0,True,False,0.571428571,0.571428571
285,133,scene_2,scene_2_y03,3,12,12,2.667142857,7.82,38.438571429,90.0,270.0,-2.0,True,False,0.571428571,0.571428571
286,134,scene_2,scene_2_y03,3,13,12,3.238571429,7.82,38.438571429,0.0,180.0,-2.0,True,False,0.571428571,0.630714286
287,135,scene_2,scene_2_y03,3,13,13,3.238571429,7.82,39.069285714,270.0,90.0,-2.0,True,False,0.630714286,0.571428571
288,136,scene_2,scene_2_y03,3,12,13,2.667142857,7.82,39.069285714,270.0,90.0,-2.0,True,False,0.571428571,0.571428571
289,137,scene_2,scene_2_y03,3,11,13,2.095714286,7.82,39.069285714,270.0,90.0,-2.0,True,False,0.571428571,0.571428571
290,138,scene_2,scene_2_y03,3,10,13,1.524285714,7.82,39.069285714,270.0,90.0,-2.0,True,False,0.571428571,0.571428571
291,139,scene_2,scene_2_y03,3,9,13,0.952857143,7.82,39.069285714,270.0,90.0,-2.0,True,False,0.571428571,0.571428571
292,140,scene_2,scene_2_y03,3,8,13,0.381428571,7.82,39.069285714,270.0,90.0,-2.0,True,False,0.571428571,0.571428571
293,141,scene_2,scene_2_y03,3,7,13,-0.19,7.82,39.069285714,270.0,90.0,-2.0,True,False,0.571428571,0.571428571
294,142,scene_2,scene_2_y03,3,6,13,-0.761428571,7.82,39.069285714,270.0,90.0,-2.0,True,False,0.571428571,0.571428571
295,143,scene_2,scene_2_y03,3,5,13,-1.332857143,7.82,39.069285714,270.0,90.0,-2.0,True,False,0.571428571,0.571428571
296,144,scene_2,scene_2_y03,3,4,13,-1.904285714,7.82,39.069285714,270.0,90.0,-2.0,True,False,0.571428571,0.571428571
297,145,scene_2,scene_2_y03,3,3,13,-2.475714286,7.82,39.069285714,270.0,90.0,-2.0,True,False,0.571428571,0.571428571
298,146,scene_2,scene_2_y03,3,2,13,-3.047142857,7.82,39.069285714,270.0,90.0,-2.0,True,False,0.571428571,0.0
299,1,scene_2,scene_2_y04,4,2,13,-3.047142857,9.08,39.069285714,90.0,270.0,-8.0,True,False,1.26,0.571428571
300,2,scene_2,scene_2_y04,4,3,13,-2.475714286,9.08,39.069285714,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
301,3,scene_2,scene_2_y04,4,4,13,-1.904285714,9.08,39.069285714,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
302,4,scene_2,scene_2_y04,4,5,13,-1.332857143,9.08,39.069285714,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
303,5,scene_2,scene_2_y04,4,6,13,-0.761428571,9.08,39.069285714,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
304,6,scene_2,scene_2_y04,4,7,13,-0.19,9.08,39.069285714,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
