trajectory_id,keyframe_count,duration_sec,start_score,end_score,score_gain
kcd2_scene1_traj_0147,9,22.139687,3.183681,7.101753,3.918072
kcd2_scene1_traj_0148,10,21.682891,3.123518,7.101753,3.978235
kcd2_scene1_traj_0149,9,21.574469,3.928301,7.101753,3.173452
kcd2_scene1_traj_0150,9,21.938717,3.396245,7.101753,3.705508
kcd2_scene1_traj_0151,7,14.812727,2.991005,7.101753,4.110748
kcd2_scene1_traj_0152,10,23.888754,2.965102,7.101753,4.136651
kcd2_scene1_traj_0153,8,19.295221,3.161107,7.101753,3.940645
kcd2_scene1_traj_0154,8,19.948523,2.984592,7.101753,4.117161
kcd2_scene1_traj_0155,7,17.486459,3.21021,7.101753,3.891543
kcd2_scene1_traj_0156,9,22.008257,3.792388,7.101753,3.309365
kcd2_scene1_traj_0157,7,15.062916,3.118108,7.101753,3.983645
kcd2_scene1_traj_0158,6,14.245192,4.107689,7.101753,2.994064
kcd2_scene1_traj_0159,7,14.7449,3.167927,7.101753,3.933826
kcd2_scene1_traj_0160,5,10.420163,3.217884,7.101753,3.883869
kcd2_scene1_traj_0161,9,20.70577,2.969079,7.101753,4.132673
kcd2_scene1_traj_0162,8,16.849945,3.605772,7.101753,3.49598
kcd2_scene1_traj_0163,6,14.313019,3.517508,7.101753,3.584244
kcd2_scene1_traj_0164,6,14.444449,3.043643,7.101753,4.05811
kcd2_scene1_traj_0165,7,14.874616,2.850543,7.101753,4.25121
kcd2_scene1_traj_0166,6,13.132899,3.689251,7.101753,3.412501
kcd2_scene1_traj_0167,9,20.778918,2.933532,7.101753,4.168221
kcd2_scene1_traj_0168,8,18.97143,3.290823,7.101753,3.81093
kcd2_scene1_traj_0169,6,14.245192,3.713077,7.101753,3.388676
kcd2_scene1_traj_0170,9,20.638425,3.547773,7.101753,3.553979
kcd2_scene1_traj_0171,9,21.999194,3.412024,7.101753,3.689729
kcd2_scene1_traj_0172,9,20.449644,2.988959,7.101753,4.112794
kcd2_scene1_traj_0173,6,12.217037,3.108845,7.101753,3.992907
kcd2_scene1_traj_0174,8,19.218632,3.132018,7.101753,3.969735
kcd2_scene1_traj_0175,8,19.361635,3.089357,7.101753,4.012395
kcd2_scene1_traj_0176,9,19.505973,3.079878,7.101753,4.021874
kcd2_scene1_traj_0177,9,21.892485,3.284955,7.101753,3.816798
kcd2_scene1_traj_0178,10,22.112439,3.20497,7.101753,3.896782
kcd2_scene1_traj_0179,7,16.042066,3.07652,7.101753,4.025232
kcd2_scene1_traj_0180,7,15.238726,2.665838,7.101753,4.435914
kcd2_scene1_traj_0181,7,17.486459,3.153903,7.101753,3.947849
kcd2_scene1_traj_0182,10,22.56766,3.200339,7.101753,3.901414
kcd2_scene1_traj_0183,9,21.152572,3.071338,7.101753,4.030415
kcd2_scene1_traj_0184,9,21.083031,2.902256,7.101753,4.199497
kcd2_scene1_traj_0185,8,18.051798,2.915615,7.101753,4.186138
kcd2_scene1_traj_0186,8,19.094551,3.018076,7.101753,4.083676
kcd2_scene1_traj_0187,7,16.438866,3.099758,7.101753,4.001995
kcd2_scene1_traj_0188,10,22.884745,3.180241,7.101753,3.921512
kcd2_scene1_traj_0189,10,22.565946,3.106525,7.101753,3.995227
kcd2_scene1_traj_0190,8,19.286459,3.130229,7.101753,3.971524
kcd2_scene1_traj_0191,7,17.223599,3.474814,7.101753,3.626939
kcd2_scene1_traj_0192,6,12.407231,2.935684,7.101753,4.166068
kcd2_scene1_traj_0193,9,21.015205,3.857718,7.101753,3.244035
kcd2_scene1_traj_0194,8,18.711834,3.1239,7.101753,3.977852
kcd2_scene1_traj_0195,5,10.102147,3.01841,7.101753,4.083343
kcd2_scene1_traj_0196,9,21.152572,3.464556,7.101753,3.637197
kcd2_scene1_traj_0197,6,14.376622,3.586919,7.101753,3.514833
kcd2_scene1_traj_0198,8,17.845192,3.941568,7.101753,3.160185
kcd2_scene1_traj_0199,9,21.889359,3.593196,7.101753,3.508557
kcd2_scene1_traj_0200,8,18.97143,2.973944,7.101753,4.127809
kcd2_scene1_traj_0201,9,19.576925,3.24286,7.101753,3.858892
kcd2_scene1_traj_0202,7,16.440579,2.666669,7.101753,4.435083
kcd2_scene1_traj_0203,9,20.751247,3.123518,7.101753,3.978235
kcd2_scene1_traj_0204,10,22.756441,3.528058,7.101753,3.573695
kcd2_scene1_traj_0205,7,16.372753,2.991005,7.101753,4.110748
kcd2_scene1_traj_0206,9,20.766247,3.130643,7.101753,3.97111
kcd2_scene1_traj_0207,9,20.706113,3.161107,7.101753,3.940645
kcd2_scene1_traj_0208,9,21.764181,3.704659,7.101753,3.397093
kcd2_scene1_traj_0209,10,21.951688,3.21021,7.101753,3.891543
kcd2_scene1_traj_0210,7,14.978992,4.107689,7.101753,2.994064
kcd2_scene1_traj_0211,5,10.477514,3.253885,7.101753,3.847868
kcd2_scene1_traj_0212,9,20.965504,3.139935,7.101753,3.961818
kcd2_scene1_traj_0213,7,16.113019,3.790115,7.101753,3.311638
kcd2_scene1_traj_0214,7,16.244449,3.517508,7.101753,3.584244
kcd2_scene1_traj_0215,7,14.944157,2.742354,7.101753,4.359399
kcd2_scene1_traj_0216,5,10.230451,3.218769,7.101753,3.882984
kcd2_scene1_traj_0217,9,22.020789,3.288015,7.101753,3.813737
kcd2_scene1_traj_0218,10,20.502632,3.079878,7.101753,4.021874
kcd2_scene1_traj_0219,7,15.669686,4.052876,7.101753,3.048877
kcd2_scene1_traj_0220,7,17.358155,3.126914,7.101753,3.974839
kcd2_scene1_traj_0221,8,16.534916,3.349585,7.101753,3.752168
kcd2_scene1_traj_0222,10,22.952572,3.572966,7.101753,3.528787
kcd2_scene1_traj_0223,10,22.952572,3.071338,7.101753,4.030415
kcd2_scene1_traj_0224,9,21.027394,3.308894,7.101753,3.792859
kcd2_scene1_traj_0225,10,22.884745,3.528285,7.101753,3.573468
kcd2_scene1_traj_0226,9,20.907083,3.531991,7.101753,3.569762
kcd2_scene1_traj_0227,8,17.724719,3.068099,7.101753,4.033654
kcd2_scene1_traj_0228,7,17.226725,3.474814,7.101753,3.626939
kcd2_scene1_traj_0229,9,20.953315,3.458037,7.101753,3.643716
kcd2_scene1_traj_0230,8,18.711834,3.1239,7.101753,3.977852
kcd2_scene1_traj_0231,9,19.961194,3.334133,7.101753,3.76762
kcd2_scene1_traj_0232,6,11.21444,3.586919,7.101753,3.514833
kcd2_scene1_traj_0233,8,17.845192,2.844973,7.101753,4.25678
kcd2_scene1_traj_0234,9,21.889359,3.593196,7.101753,3.508557
kcd2_scene1_traj_0235,6,14.376622,2.666669,7.101753,4.435083
kcd2_scene1_traj_0236,10,22.304045,3.49846,7.101753,3.603293
kcd2_scene1_traj_0237,5,10.548467,3.148057,7.101753,3.953696
kcd2_scene1_traj_0238,9,21.824797,2.965102,7.101753,4.136651
kcd2_scene1_traj_0239,9,19.516587,2.984592,7.101753,4.117161
kcd2_scene1_traj_0240,7,15.801116,3.334288,7.101753,3.767465
kcd2_scene1_traj_0241,7,15.409159,3.253885,7.101753,3.847868
kcd2_scene1_traj_0242,6,14.444449,3.110243,7.101753,3.991509
kcd2_scene1_traj_0243,7,15.049945,3.517508,7.101753,3.584244
kcd2_scene1_traj_0244,9,20.777204,3.102059,7.101753,3.999694
kcd2_scene1_traj_0245,9,21.889359,3.284955,7.101753,3.816798
kcd2_scene1_traj_0246,7,17.358155,3.126914,7.101753,3.974839
kcd2_scene1_traj_0247,7,15.913762,2.665838,7.101753,4.435914
kcd2_scene1_traj_0248,9,21.819957,3.572966,7.101753,3.528787
kcd2_scene1_traj_0249,9,20.088085,3.014032,7.101753,4.087721
kcd2_scene1_traj_0250,9,19.776182,3.464664,7.101753,3.637088
kcd2_scene1_traj_0251,9,20.894551,3.967927,7.101753,3.133826
kcd2_scene1_traj_0252,8,18.708708,3.1239,7.101753,3.977852
kcd2_scene1_traj_0253,7,16.176622,2.844973,7.101753,4.25678
kcd2_scene1_traj_0254,5,10.359686,3.328988,7.101753,3.772765
kcd2_scene1_traj_0255,7,15.66656,3.667965,7.101753,3.433787
kcd2_scene1_traj_0256,10,22.419817,3.123518,7.101753,3.978235
kcd2_scene1_traj_0257,5,10.350623,3.148057,7.101753,3.953696
kcd2_scene1_traj_0258,10,22.756441,3.108227,7.101753,3.993526
kcd2_scene1_traj_0259,7,15.801116,3.334288,7.101753,3.767465
kcd2_scene1_traj_0260,8,16.849945,3.790115,7.101753,3.311638
kcd2_scene1_traj_0261,5,10.420163,3.910715,7.101753,3.191038
kcd2_scene1_traj_0262,8,18.171039,3.288015,7.101753,3.813737
kcd2_scene1_traj_0263,8,19.286459,3.126914,7.101753,3.974839
kcd2_scene1_traj_0264,8,17.845192,2.665838,7.101753,4.435914
kcd2_scene1_traj_0265,10,22.822554,3.025004,7.101753,4.076748
kcd2_scene1_traj_0266,9,19.953844,3.591592,7.101753,3.510161
kcd2_scene1_traj_0267,9,21.095221,2.96102,7.101753,4.140732
kcd2_scene1_traj_0268,8,18.708708,3.1239,7.101753,3.977852
kcd2_scene1_traj_0269,7,15.241852,2.844973,7.101753,4.25678
kcd2_scene1_traj_0270,5,10.477514,4.18785,7.101753,2.913903
kcd2_scene1_traj_0271,9,20.64,3.49846,7.101753,3.603293
kcd2_scene1_traj_0272,10,21.82902,3.130643,7.101753,3.97111
kcd2_scene1_traj_0273,7,16.113019,3.110243,7.101753,3.991509
kcd2_scene1_traj_0274,5,10.162485,4.52943,7.101753,2.572322
kcd2_scene1_traj_0275,9,19.970738,3.102059,7.101753,3.999694
kcd2_scene1_traj_0276,8,18.910952,3.57895,7.101753,3.522802
kcd2_scene1_traj_0277,7,16.045192,2.665838,7.101753,4.435914
kcd2_scene1_traj_0278,9,19.950718,3.464664,7.101753,3.637088
kcd2_scene1_traj_0279,10,21.377064,3.1239,7.101753,3.977852
kcd2_scene1_traj_0280,7,16.304926,2.666669,7.101753,4.435083
kcd2_scene1_traj_0281,9,21.744781,3.49846,7.101753,3.603293
kcd2_scene1_traj_0282,9,21.96045,2.965102,7.101753,4.136651
kcd2_scene1_traj_0283,9,19.776182,3.464664,7.101753,3.637088
kcd2_scene1_traj_0284,7,15.370156,2.666669,7.101753,4.435083
kcd2_scene1_traj_0285,10,21.500047,3.108227,7.101753,3.993526
kcd2_scene1_traj_0286,9,19.776182,3.591592,7.101753,3.510161
kcd2_scene1_traj_0287,9,21.96045,2.965102,7.101753,4.136651
kcd2_scene1_traj_0288,9,20.825011,3.108227,7.101753,3.993526
kcd2_scene1_traj_0289,10,22.697376,2.965102,7.101753,4.136651
kcd2_scene1_traj_0290,9,22.077496,3.267793,7.101753,3.83396
kcd2_scene1_traj_0291,6,13.330743,3.689251,7.101753,3.412501
kcd2_scene1_traj_0292,9,21.688046,3.587878,7.101753,3.513875
kcd2_scene1_traj_0293,7,14.999313,3.766129,7.101753,3.335624
kcd2_scene1_traj_0294,5,11.59122,3.698732,7.101753,3.40302
kcd2_scene1_traj_0295,8,19.354285,3.210413,7.101753,3.891339
kcd2_scene1_traj_0296,9,21.879953,3.21805,7.101753,3.883702
kcd2_scene1_traj_0297,5,10.48799,3.102059,7.101753,3.999694
kcd2_scene1_traj_0298,9,22.207514,3.128625,7.101753,3.973128
kcd2_scene1_traj_0299,5,10.278258,4.030247,7.101753,3.071506
kcd2_scene1_traj_0300,10,23.74778,3.502455,7.101753,3.599298
kcd2_scene1_traj_0301,5,10.031194,3.018188,7.101753,4.083564
kcd2_scene1_traj_0302,10,22.252631,3.089357,7.101753,4.012395
kcd2_scene1_traj_0303,8,18.772173,3.079878,7.101753,4.021874
kcd2_scene1_traj_0304,9,21.033812,2.954571,7.101753,4.147181
kcd2_scene1_traj_0305,9,19.644752,3.57895,7.101753,3.522802
kcd2_scene1_traj_0306,9,22.008257,3.07652,7.101753,4.025232
kcd2_scene1_traj_0307,9,20.958155,3.153903,7.101753,3.947849
kcd2_scene1_traj_0308,10,22.754727,3.311275,7.101753,3.790478
kcd2_scene1_traj_0309,8,19.224268,3.071338,7.101753,4.030415
kcd2_scene1_traj_0310,9,20.089498,2.902256,7.101753,4.199497
kcd2_scene1_traj_0311,10,22.569716,3.063681,7.101753,4.038072
kcd2_scene1_traj_0312,8,19.026725,3.728394,7.101753,3.373359
kcd2_scene1_traj_0313,9,22.008257,3.173759,7.101753,3.927994
kcd2_scene1_traj_0314,9,22.139687,3.246315,7.101753,3.855438
kcd2_scene1_traj_0315,8,20.14778,3.140337,7.101753,3.961416
kcd2_scene1_traj_0316,8,18.779522,3.341438,7.101753,3.760315
kcd2_scene1_traj_0317,7,17.425981,4.111848,7.101753,2.989905
kcd2_scene1_traj_0318,9,20.709377,3.082108,7.101753,4.019645
kcd2_scene1_traj_0319,10,22.683775,3.531991,7.101753,3.569762
kcd2_scene1_traj_0320,10,22.496707,3.500184,7.101753,3.601569
kcd2_scene1_traj_0321,8,19.158155,3.094111,7.101753,4.007641
kcd2_scene1_traj_0322,9,19.950718,3.464664,7.101753,3.637088
kcd2_scene1_traj_0323,5,10.478927,4.427741,7.101753,2.674012
kcd2_scene1_traj_0324,8,20.012127,3.729195,7.101753,3.372557
kcd2_scene1_traj_0325,9,20.953315,3.433102,7.101753,3.668651
kcd2_scene1_traj_0326,7,14.929773,3.342446,7.101753,3.759306
kcd2_scene1_traj_0327,9,20.89909,3.086889,7.101753,4.014864
kcd2_scene1_traj_0328,7,15.110422,3.586919,7.101753,3.514833
kcd2_scene1_traj_0329,8,15.61013,2.844973,7.101753,4.25678
kcd2_scene1_traj_0330,9,21.378477,3.073293,7.101753,4.02846
kcd2_scene1_traj_0331,9,21.027394,3.151546,7.101753,3.950207
kcd2_scene1_traj_0332,8,19.225981,3.474038,7.101753,3.627715
kcd2_scene1_traj_0333,5,10.34921,3.005265,7.101753,4.096488
kcd2_scene1_traj_0334,9,20.835487,3.317915,7.101753,3.783838
kcd2_scene1_traj_0335,9,22.1411,3.077212,7.101753,4.02454
kcd2_scene1_traj_0336,8,17.976622,3.150712,7.101753,3.951041
kcd2_scene1_traj_0337,10,21.420031,3.123518,7.101753,3.978235
kcd2_scene1_traj_0338,9,22.080622,3.151265,7.101753,3.950488
kcd2_scene1_traj_0339,8,19.028137,3.644978,7.101753,3.456775
kcd2_scene1_traj_0340,9,21.084745,3.128574,7.101753,3.973178
kcd2_scene1_traj_0341,9,21.620219,3.62743,7.101753,3.474322
kcd2_scene1_traj_0342,5,10.607231,3.148057,7.101753,3.953696
kcd2_scene1_traj_0343,9,21.084745,3.169531,7.101753,3.932221
kcd2_scene1_traj_0344,9,21.095221,3.161107,7.101753,3.940645
kcd2_scene1_traj_0345,5,10.48799,3.568866,7.101753,3.532886
kcd2_scene1_traj_0346,10,22.758155,3.097606,7.101753,4.004147
kcd2_scene1_traj_0347,7,14.675221,3.652898,7.101753,3.448854
kcd2_scene1_traj_0348,9,21.949193,3.446842,7.101753,3.65491
kcd2_scene1_traj_0349,7,14.978992,4.107689,7.101753,2.994064
kcd2_scene1_traj_0350,8,20.211383,3.754714,7.101753,3.347039
kcd2_scene1_traj_0351,9,22.130624,3.337024,7.101753,3.764729
kcd2_scene1_traj_0352,8,20.339687,3.227361,7.101753,3.874392
kcd2_scene1_traj_0353,5,10.219193,3.172892,7.101753,3.92886
kcd2_scene1_traj_0354,6,14.181589,3.605772,7.101753,3.49598
kcd2_scene1_traj_0355,7,14.812727,3.119233,7.101753,3.98252
kcd2_scene1_traj_0356,9,22.208926,3.151613,7.101753,3.95014
kcd2_scene1_traj_0357,8,20.268734,3.312168,7.101753,3.789585
kcd2_scene1_traj_0358,7,14.815853,2.850543,7.101753,4.25121
kcd2_scene1_traj_0359,9,22.077496,3.267793,7.101753,3.83396
kcd2_scene1_traj_0360,6,13.199313,4.439395,7.101753,2.662358
kcd2_scene1_traj_0361,9,22.266277,3.277363,7.101753,3.82439
kcd2_scene1_traj_0362,5,11.530743,4.620866,7.101753,2.480887
kcd2_scene1_traj_0363,9,20.953315,3.210413,7.101753,3.891339
kcd2_scene1_traj_0364,9,22.020789,3.288015,7.101753,3.813737
kcd2_scene1_traj_0365,10,23.349267,3.412024,7.101753,3.689729
kcd2_scene1_traj_0366,8,17.457497,3.167553,7.101753,3.9342
kcd2_scene1_traj_0367,10,23.74778,3.551657,7.101753,3.550096
kcd2_scene1_traj_0368,10,22.986431,3.089357,7.101753,4.012395
kcd2_scene1_traj_0369,8,18.911091,3.284955,7.101753,3.816798
kcd2_scene1_traj_0370,9,22.139687,3.07652,7.101753,4.025232
kcd2_scene1_traj_0371,5,11.659047,3.903244,7.101753,3.198509
kcd2_scene1_traj_0372,10,21.899973,3.311275,7.101753,3.790478
kcd2_scene1_traj_0373,9,21.024268,3.071338,7.101753,4.030415
kcd2_scene1_traj_0374,9,20.76766,3.308894,7.101753,3.792859
kcd2_scene1_traj_0375,10,21.886372,3.063681,7.101753,4.038072
