point_index,layer_index,layer_z,x,y,z
46,2,118.0484301085,391.99835904379995,221.03460551828573,118.0484301085
47,2,118.0484301085,369.1725296866,221.03460551828573,118.0484301085
48,2,118.0484301085,391.99835904379995,198.77639855714287,118.0484301085
49,2,118.0484301085,414.824188401,198.77639855714287,118.0484301085
50,2,118.0484301085,437.65001775819997,198.77639855714287,118.0484301085
51,2,118.0484301085,460.47584711540003,198.77639855714287,118.0484301085
52,2,118.0484301085,483.3016764726,198.77639855714287,118.0484301085
53,2,118.0484301085,506.12750582980004,198.77639855714287,118.0484301085
54,3,124.97026871399999,483.3016764726,198.77639855714287,124.97026871399999
55,3,124.97026871399999,460.47584711540003,198.77639855714287,124.97026871399999
56,3,124.97026871399999,437.65001775819997,198.77639855714287,124.97026871399999
57,3,124.97026871399999,414.824188401,198.77639855714287,124.97026871399999
58,3,124.97026871399999,391.99835904379995,198.77639855714287,124.97026871399999
59,3,124.97026871399999,369.1725296866,198.77639855714287,124.97026871399999
60,3,124.97026871399999,323.5208709722,221.03460551828573,124.97026871399999
61,3,124.97026871399999,346.3467003294,221.03460551828573,124.97026871399999
62,3,124.97026871399999,369.1725296866,221.03460551828573,124.97026871399999
63,3,124.97026871399999,391.99835904379995,221.03460551828573,124.97026871399999
64,3,124.97026871399999,414.824188401,221.03460551828573,124.97026871399999
65,3,124.97026871399999,437.65001775819997,221.03460551828573,124.97026871399999
66,3,124.97026871399999,460.47584711540003,221.03460551828573,124.97026871399999
67,3,124.97026871399999,483.3016764726,221.03460551828573,124.97026871399999
68,3,124.97026871399999,483.3016764726,243.29281247942856,124.97026871399999
69,3,124.97026871399999,460.47584711540003,243.29281247942856,124.97026871399999
70,3,124.97026871399999,437.65001775819997,243.29281247942856,124.97026871399999
71,3,124.97026871399999,414.824188401,243.29281247942856,124.97026871399999
72,3,124.97026871399999,391.99835904379995,243.29281247942856,124.97026871399999
73,3,124.97026871399999,369.1725296866,243.29281247942856,124.97026871399999
74,3,124.97026871399999,346.3467003294,243.29281247942856,124.97026871399999
75,3,124.97026871399999,323.5208709722,243.29281247942856,124.97026871399999
76,3,124.97026871399999,346.3467003294,265.55101944057145,124.97026871399999
77,3,124.97026871399999,369.1725296866,265.55101944057145,124.97026871399999
78,3,124.97026871399999,391.99835904379995,265.55101944057145,124.97026871399999
79,3,124.97026871399999,414.824188401,265.55101944057145,124.97026871399999
80,3,124.97026871399999,437.65001775819997,265.55101944057145,124.97026871399999
81,3,124.97026871399999,460.47584711540003,265.55101944057145,124.97026871399999
82,3,124.97026871399999,483.3016764726,265.55101944057145,124.97026871399999
83,3,124.97026871399999,460.47584711540003,287.8092264017143,124.97026871399999
84,3,124.97026871399999,437.65001775819997,287.8092264017143,124.97026871399999
85,3,124.97026871399999,414.824188401,287.8092264017143,124.97026871399999
86,3,124.97026871399999,391.99835904379995,287.8092264017143,124.97026871399999
87,3,124.97026871399999,369.1725296866,287.8092264017143,124.97026871399999
88,3,124.97026871399999,391.99835904379995,310.0674333628572,124.97026871399999
89,3,124.97026871399999,414.824188401,310.0674333628572,124.97026871399999
90,3,124.97026871399999,437.65001775819997,310.0674333628572,124.97026871399999
91,3,124.97026871399999,460.47584711540003,310.0674333628572,124.97026871399999
92,4,131.89210731949998,437.65001775819997,310.0674333628572,131.89210731949998
93,4,131.89210731949998,414.824188401,310.0674333628572,131.89210731949998
94,4,131.89210731949998,369.1725296866,287.8092264017143,131.89210731949998
95,4,131.89210731949998,391.99835904379995,287.8092264017143,131.89210731949998
96,4,131.89210731949998,414.824188401,287.8092264017143,131.89210731949998
97,4,131.89210731949998,437.65001775819997,287.8092264017143,131.89210731949998
98,4,131.89210731949998,460.47584711540003,287.8092264017143,131.89210731949998
99,4,131.89210731949998,460.47584711540003,265.55101944057145,131.89210731949998
100,4,131.89210731949998,437.65001775819997,265.55101944057145,131.89210731949998
101,4,131.89210731949998,414.824188401,265.55101944057145,131.89210731949998
102,4,131.89210731949998,391.99835904379995,265.55101944057145,131.89210731949998
103,4,131.89210731949998,369.1725296866,265.55101944057145,131.89210731949998
104,4,131.89210731949998,346.3467003294,265.55101944057145,131.89210731949998
105,4,131.89210731949998,323.5208709722,243.29281247942856,131.89210731949998
106,4,131.89210731949998,346.3467003294,243.29281247942856,131.89210731949998
107,4,131.89210731949998,369.1725296866,243.29281247942856,131.89210731949998
